 *                                      
 * hydrostatic:  btemp=  1.500E+07 bden=  1.500E+02
 *          time                pos           vel           temp          den           pres          ener          entr          cs
     62  8.425008140262E+17  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.541565E+17  4.208266E+18  6.021113E+08  4.135096E+07
     63  1.057870048595E+18  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.515474E+17  4.272838E+18  5.905488E+08  4.099949E+07
     64  1.712179694814E+18  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.477571E+17  4.366607E+18  5.736570E+08  4.048351E+07
     65  3.192213223159E+18  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.450313E+17  4.434015E+18  5.614387E+08  4.010838E+07
     66  4.321152005714E+18  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.442304E+17  4.453819E+18  5.578368E+08  3.999748E+07
     67  8.099166921835E+18  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.431913E+17  4.479507E+18  5.531564E+08  3.985316E+07
     68  1.117681596558E+19  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.428683E+17  4.487492E+18  5.516995E+08  3.980818E+07
     69  2.116229358131E+19  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.424700E+17  4.497335E+18  5.499022E+08  3.975267E+07
     70  2.924302832239E+19  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.423475E+17  4.500363E+18  5.493489E+08  3.973557E+07
     71  3.924302832239E+19  0.000000E+00  0.000000E+00  1.500000E+07  1.500000E+02  1.422659E+17  4.502379E+18  5.489804E+08  3.972418E+07
